"Time (s)","Illuminance (lx)"
2.784752857E0,4.450000000E2
2.824712857E0,4.540000000E2
2.864665397E0,4.660000000E2
2.904618639E0,4.760000000E2
2.944567076E0,4.910000000E2
2.984521334E0,4.840000000E2
3.024488053E0,4.990000000E2
3.064447857E0,5.150000000E2
3.104408170E0,5.310000000E2
3.144359342E0,5.490000000E2
3.184297506E0,5.660000000E2
3.224240982E0,5.780000000E2
3.264189264E0,5.990000000E2
3.304142857E0,6.160000000E2
3.344105357E0,6.410000000E2
3.384073365E0,6.280000000E2
3.424045006E0,6.530000000E2
3.464007740E0,6.870000000E2
3.503959615E0,7.210000000E2
3.543917154E0,7.650000000E2
3.583883170E0,8.090000000E2
3.623838756E0,8.300000000E2
3.663798404E0,8.720000000E2
3.703766803E0,8.860000000E2
3.743734889E0,9.220000000E2
3.783704225E0,9.030000000E2
3.823670475E0,9.400000000E2
3.863633482E0,9.870000000E2
3.903599967E0,1.034000000E3
3.943562037E0,1.080000000E3
3.983515357E0,1.125000000E3
4.023465201E0,1.137000000E3
4.063411607E0,1.175000000E3
4.103353834E0,1.189000000E3
4.143303873E0,1.222000000E3
4.183260162E0,1.203000000E3
4.223230436E0,1.230000000E3
4.263186607E0,1.258000000E3
4.303139107E0,1.287000000E3
4.343095943E0,1.318000000E3
4.383056022E0,1.349000000E3
4.423022623E0,1.357000000E3
4.462975397E0,1.381000000E3
4.502937975E0,1.370000000E3
4.542900084E0,1.375000000E3
4.582860709E0,1.384000000E3
4.622826061E0,1.366000000E3
4.662780084E0,1.349000000E3
4.702729498E0,1.335000000E3
4.742685397E0,1.284000000E3
4.822619693E0,1.271000000E3
4.862589615E0,1.170000000E3
4.902556842E0,1.178000000E3
4.942528951E0,1.032000000E3
4.982490748E0,1.063000000E3
5.022447584E0,9.950000000E2
5.062407701E0,9.270000000E2
5.102363522E0,8.960000000E2
5.142321881E0,8.060000000E2
5.222245826E0,7.740000000E2
5.262212701E0,6.990000000E2
5.302183639E0,6.860000000E2
5.342141764E0,6.090000000E2
5.382103951E0,6.240000000E2
5.422061686E0,5.950000000E2
5.462017037E0,5.650000000E2
5.501977584E0,5.500000000E2
5.541942389E0,5.040000000E2
5.621856373E0,4.860000000E2
5.661815592E0,4.590000000E2
5.701770553E0,4.520000000E2
5.741730475E0,4.270000000E2
5.781698990E0,4.320000000E2
5.821671139E0,4.230000000E2
5.861642740E0,4.140000000E2
5.901612115E0,4.090000000E2
5.941577740E0,4.040000000E2
6.021515709E0,4.050000000E2
6.101447076E0,4.100000000E2
6.141401647E0,4.160000000E2
6.181362193E0,4.140000000E2
6.221324732E0,4.180000000E2
6.261282232E0,4.210000000E2
6.301240123E0,4.230000000E2
6.341207272E0,4.320000000E2
6.381175982E0,4.420000000E2
6.421131100E0,4.560000000E2
6.461082897E0,4.720000000E2
6.501047037E0,4.870000000E2
6.541015514E0,5.090000000E2
6.580977701E0,4.990000000E2
6.620944459E0,5.260000000E2
6.660915826E0,5.620000000E2
6.700888717E0,5.980000000E2
6.740851334E0,6.400000000E2
6.820786881E0,6.890000000E2
6.860752232E0,7.380000000E2
6.900701490E0,7.920000000E2
6.940673834E0,8.450000000E2
6.980622037E0,8.180000000E2
7.020580475E0,8.730000000E2
7.060533326E0,9.400000000E2
7.100494654E0,1.006000000E3
7.140459615E0,1.089000000E3
7.180423404E0,1.172000000E3
7.220380748E0,1.218000000E3
7.260337545E0,1.302000000E3
7.300294029E0,1.326000000E3
7.340253678E0,1.396000000E3
7.380209576E0,1.357000000E3
7.420160436E0,1.401000000E3
7.460107467E0,1.421000000E3
7.500058834E0,1.442000000E3
7.540009225E0,1.451000000E3
7.579959342E0,1.461000000E3
7.619918053E0,1.460000000E3
7.659870514E0,1.465000000E3
7.699809498E0,1.470000000E3
7.739756451E0,1.478000000E3
7.779701100E0,1.475000000E3
7.819655006E0,1.491000000E3
7.859591725E0,1.514000000E3
7.899538834E0,1.538000000E3
7.939492506E0,1.562000000E3
7.979460084E0,1.586000000E3
8.019415904E0,1.588000000E3
8.059371022E0,1.602000000E3
8.099336373E0,1.593000000E3
8.139311412E0,1.595000000E3
8.179278170E0,1.603000000E3
8.219258678E0,1.592000000E3
8.259238092E0,1.580000000E3
8.299209186E0,1.569000000E3
8.339169068E0,1.546000000E3
8.419143365E0,1.547000000E3
8.459127818E0,1.527000000E3
8.539078873E0,1.510000000E3
8.619005006E0,1.520000000E3
8.658967779E0,1.545000000E3
8.698942467E0,1.569000000E3
8.738912623E0,1.600000000E3
8.778884967E0,1.630000000E3
8.818853443E0,1.640000000E3
8.858815553E0,1.665000000E3
8.898779772E0,1.657000000E3
8.938758951E0,1.665000000E3
8.978729147E0,1.668000000E3
9.018691568E0,1.655000000E3
9.058658443E0,1.642000000E3
9.098623600E0,1.631000000E3
9.138597311E0,1.582000000E3
9.218551607E0,1.561000000E3
9.258523248E0,1.524000000E3
9.298484693E0,1.520000000E3
9.338456451E0,1.477000000E3
9.378417506E0,1.480000000E3
9.418374186E0,1.467000000E3
9.458335553E0,1.461000000E3
9.498317467E0,1.465000000E3
9.538299459E0,1.485000000E3
9.578271959E0,1.507000000E3
9.618245436E0,1.540000000E3
9.658240279E0,1.579000000E3
9.698222311E0,1.607000000E3
9.738193092E0,1.650000000E3
9.778173365E0,1.626000000E3
9.818152975E0,1.644000000E3
9.898092154E0,1.643000000E3
9.938056881E0,1.593000000E3
1.001799473E1,1.570000000E3
1.005796055E1,1.450000000E3
1.009792661E1,1.442000000E3
1.013790544E1,1.298000000E3
1.017788723E1,1.314000000E3
1.021784653E1,1.267000000E3
1.025780626E1,1.220000000E3
1.029776641E1,1.205000000E3
1.033773751E1,1.204000000E3
1.037770024E1,1.218000000E3
1.041767481E1,1.256000000E3
1.045763458E1,1.296000000E3
1.049759673E1,1.341000000E3
1.053757376E1,1.401000000E3
1.057754458E1,1.378000000E3
1.061751333E1,1.455000000E3
1.065748114E1,1.532000000E3
1.069745899E1,1.610000000E3
1.073744090E1,1.667000000E3
1.077740790E1,1.724000000E3
1.081737380E1,1.727000000E3
1.085734430E1,1.767000000E3
1.089730688E1,1.778000000E3
1.093726809E1,1.809000000E3
1.097722758E1,1.789000000E3
1.101719368E1,1.817000000E3
1.105714969E1,1.823000000E3
1.109711430E1,1.829000000E3
1.121700907E1,1.802000000E3
1.125697469E1,1.775000000E3
1.129693465E1,1.794000000E3
1.133689098E1,1.833000000E3
1.141682926E1,1.902000000E3
1.145680821E1,1.954000000E3
1.149677657E1,2.006000000E3
1.165661036E1,2.003000000E3
1.169656583E1,1.967000000E3
1.173654180E1,1.924000000E3
1.177649930E1,1.907000000E3
1.185640661E1,1.909000000E3
1.189636934E1,1.936000000E3
1.193633048E1,1.959000000E3
1.197629700E1,1.967000000E3
1.201626422E1,1.961000000E3
1.205623403E1,1.969000000E3
1.209619747E1,1.954000000E3
1.213615926E1,1.939000000E3
1.217611059E1,1.926000000E3
1.221607309E1,1.937000000E3
1.225603356E1,1.906000000E3
1.229599344E1,1.883000000E3
1.233594934E1,1.877000000E3
1.237590501E1,1.863000000E3
1.245583540E1,1.892000000E3
1.249580727E1,1.936000000E3
1.253575770E1,1.987000000E3
1.257569618E1,2.047000000E3
1.261564504E1,2.034000000E3
1.265558469E1,2.095000000E3
1.269553169E1,2.169000000E3
1.273546754E1,2.228000000E3
1.277542258E1,2.277000000E3
1.281538864E1,2.281000000E3
1.285534883E1,2.265000000E3
1.289529973E1,2.264000000E3
1.293525329E1,2.252000000E3
1.297520653E1,2.217000000E3
1.301515395E1,2.226000000E3
1.305511352E1,2.215000000E3
1.309507649E1,2.162000000E3
1.317498208E1,2.074000000E3
1.321494481E1,2.105000000E3
1.325491965E1,2.063000000E3
1.329487821E1,1.954000000E3
1.333483270E1,1.945000000E3
1.337479036E1,1.771000000E3
1.341476614E1,1.800000000E3
1.345473626E1,1.738000000E3
1.349469829E1,1.608000000E3
1.353465962E1,1.606000000E3
1.357463465E1,1.404000000E3
1.361460848E1,1.446000000E3
1.365457094E1,1.349000000E3
1.369454524E1,1.199000000E3
1.373449856E1,1.174000000E3
1.377445200E1,9.280000000E2
1.381440422E1,9.550000000E2
1.385437368E1,8.340000000E2
1.389434036E1,7.530000000E2
1.393430891E1,7.090000000E2
1.397428376E1,5.840000000E2
1.405420754E1,5.310000000E2
1.409415590E1,4.830000000E2
1.413412169E1,4.790000000E2
1.417409235E1,4.190000000E2
1.421405926E1,4.290000000E2
1.425403028E1,4.030000000E2
1.429400825E1,3.780000000E2
1.433398446E1,3.680000000E2
1.437397372E1,3.430000000E2
1.445393098E1,3.370000000E2
1.449389766E1,3.390000000E2
1.453385751E1,3.380000000E2
1.457383637E1,3.370000000E2
1.465376419E1,3.360000000E2
1.469373383E1,3.350000000E2
1.473370122E1,3.380000000E2
1.485361548E1,3.370000000E2
1.489358161E1,3.330000000E2
1.493354821E1,3.290000000E2
1.497349739E1,3.190000000E2
1.501346567E1,3.200000000E2
1.505342805E1,3.120000000E2
1.509339204E1,3.070000000E2
1.513335919E1,3.020000000E2
1.517333919E1,2.930000000E2
1.525327844E1,2.890000000E2
1.529324208E1,2.800000000E2
1.533320786E1,2.780000000E2
1.537316071E1,2.700000000E2
1.541309915E1,2.740000000E2
