"Time (s)","Illuminance (lx)"
2.612012154E0,7.017600000E4
2.651988873E0,7.197000000E4
2.691967076E0,7.222600000E4
2.731944302E0,7.346300000E4
2.771908794E0,7.444800000E4
2.811875591E0,7.378800000E4
2.851863443E0,7.377000000E4
2.891850630E0,7.451700000E4
2.931816373E0,7.352500000E4
2.971783912E0,7.403200000E4
3.011748169E0,7.330400000E4
3.051722076E0,7.321000000E4
3.091688951E0,7.314300000E4
3.131646451E0,7.369400000E4
3.171610591E0,7.280500000E4
3.251587076E0,7.099900000E4
3.331556568E0,7.034000000E4
3.371541529E0,6.910500000E4
3.411518755E0,6.801600000E4
3.451502935E0,6.964700000E4
3.531471802E0,6.961900000E4
3.571447544E0,6.869100000E4
3.611425982E0,6.917500000E4
3.651378638E0,6.841200000E4
3.731272818E0,6.745100000E4
3.771229537E0,6.871900000E4
3.811185162E0,6.922400000E4
3.851134146E0,7.140700000E4
3.891091685E0,7.235300000E4
3.931041138E0,7.228900000E4
3.971005396E0,7.204700000E4
4.010969810E0,7.388700000E4
4.050948091E0,6.746600000E4
4.090911412E0,6.828100000E4
4.130868716E0,6.514200000E4
4.170828169E0,6.307400000E4
4.210787505E0,6.244000000E4
4.250746216E0,6.298300000E4
4.290708794E0,6.439600000E4
4.330673013E0,6.660900000E4
4.370641060E0,6.226000000E4
4.410621294E0,5.974600000E4
4.450583482E0,5.887700000E4
4.530520279E0,6.221100000E4
4.610445279E0,6.065000000E4
4.650411451E0,5.796400000E4
4.730356568E0,5.724700000E4
4.770311998E0,5.741500000E4
4.850233287E0,5.751700000E4
4.930143091E0,5.731900000E4
4.970106373E0,5.709800000E4
5.010065279E0,5.695500000E4
5.050039146E0,5.706000000E4
5.129952115E0,5.826000000E4
5.169906529E0,5.951600000E4
5.209850787E0,6.084000000E4
5.249795474E0,6.136000000E4
5.289746333E0,6.132800000E4
5.329707662E0,6.180500000E4
5.369667154E0,6.225000000E4
5.409638794E0,6.254400000E4
5.489577505E0,6.273500000E4
5.529543755E0,6.244600000E4
5.569528599E0,6.207000000E4
5.609493013E0,6.162500000E4
5.649468990E0,6.143400000E4
5.689438052E0,6.159500000E4
5.729404849E0,6.109100000E4
5.769383365E0,6.044500000E4
5.809365083E0,6.016500000E4
5.849334693E0,6.088700000E4
5.889298169E0,6.082400000E4
5.929262740E0,6.255100000E4
5.969233287E0,6.418600000E4
6.009197349E0,6.511000000E4
6.049164966E0,6.579100000E4
6.089123716E0,6.534800000E4
6.129082388E0,6.551700000E4
6.169050669E0,6.526100000E4
6.209022271E0,6.515100000E4
6.248992193E0,6.431400000E4
6.288971568E0,6.437600000E4
6.328949654E0,6.427300000E4
6.368934380E0,6.423600000E4
6.408900474E0,6.439500000E4
6.448862544E0,6.469000000E4
6.488818833E0,6.457700000E4
6.528787076E0,6.478400000E4
6.568757076E0,6.493400000E4
6.648708404E0,6.489200000E4
6.688683716E0,6.501100000E4
6.728647544E0,6.491500000E4
6.768612310E0,6.440100000E4
6.808584732E0,6.426700000E4
6.848563013E0,6.395300000E4
6.928493365E0,6.403900000E4
7.008443677E0,6.395800000E4
7.048416724E0,6.374500000E4
7.088371607E0,6.376800000E4
7.128328248E0,6.364700000E4
7.168288091E0,6.354500000E4
7.208256841E0,6.297500000E4
7.248228560E0,6.204400000E4
7.328185005E0,6.246600000E4
7.408146099E0,6.210100000E4
7.448140201E0,6.113100000E4
7.528105708E0,5.951500000E4
7.568084693E0,5.880700000E4
7.608066294E0,5.660200000E4
7.648035513E0,5.471400000E4
7.688019498E0,5.535600000E4
7.728006568E0,5.142400000E4
7.767995591E0,4.333600000E4
